task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
93	9b/5f72e3	153001	COMPUTE_BAM_COVERAGE (barcode_64_026080721102xPCR1test_E)	COMPLETED	0	2026-08-19 17:30:22.255	380ms	85ms	110.4%	10 MB	47.9 MB	1.9 MB	438.3 KB
92	9f/8df127	151139	ALIGN_GENOTYPE_BAM (barcode_68_TPOSP020xPCR1test_D3)	COMPLETED	0	2026-08-19 17:30:21.423	1.9s	1.3s	229.6%	24.2 MB	941.3 MB	38 MB	31.6 MB
95	8d/788a2a	154708	COMPUTE_BAM_COVERAGE (barcode_68_TPOSP020xPCR1test_D3)	COMPLETED	0	2026-08-19 17:30:23.366	546ms	200ms	101.9%	10 MB	47.9 MB	7 MB	412.3 KB
90	eb/bdf7ed	151056	ALIGN_GENOTYPE_BAM (barcode_65_026083024001xPCR1test_A2)	COMPLETED	0	2026-08-19 17:30:21.412	3.6s	3.1s	235.7%	99.5 MB	1.3 GB	89 MB	73.9 MB
91	ec/f9f5c4	151190	ALIGN_GENOTYPE_BAM (barcode_66_026084395002xPCR1test_A5)	COMPLETED	0	2026-08-19 17:30:21.429	3.9s	3.3s	236.3%	96.3 MB	1.2 GB	95.4 MB	79.3 MB
98	cc/491209	156719	COMPUTE_BAM_COVERAGE (barcode_65_026083024001xPCR1test_A2)	COMPLETED	0	2026-08-19 17:30:24.988	711ms	401ms	101.1%	10.1 MB	48 MB	16.1 MB	455 KB
100	79/7473df	157632	COMPUTE_BAM_COVERAGE (barcode_66_026084395002xPCR1test_A5)	COMPLETED	0	2026-08-19 17:30:25.344	734ms	432ms	98.5%	9.9 MB	48 MB	17.2 MB	455.3 KB
87	df/b6ed26	150971	ALIGN_GENOTYPE_BAM (barcode_61_TEXTP020_D10)	COMPLETED	0	2026-08-19 17:30:21.400	12.3s	11.9s	392.6%	61.1 MB	523.8 MB	7 MB	5.9 MB
101	b7/edf847	167377	COMPUTE_BAM_COVERAGE (barcode_61_TEXTP020_D10)	COMPLETED	0	2026-08-19 17:30:33.741	401ms	79ms	105.4%	8 MB	36.4 MB	1.4 MB	229.1 KB
94	94/21b353	153011	CALL_VCF (barcode_64_026080721102xPCR1test_E)	COMPLETED	0	2026-08-19 17:30:22.264	14.9s	14.5s	97.6%	308.9 MB	824.4 MB	150.4 MB	17.8 MB
103	05/6cea31	169538	SEARCH_HBV_MUTATIONS (barcode_64_026080721102xPCR1test_E)	COMPLETED	0	2026-08-19 17:30:37.191	1.1s	761ms	88.8%	4.9 MB	90 MB	6.2 MB	5.1 KB
96	e0/e7d580	154687	CALL_VCF (barcode_68_TPOSP020xPCR1test_D3)	COMPLETED	0	2026-08-19 17:30:23.358	15.7s	15.2s	97.7%	347.5 MB	1012.8 MB	165.7 MB	23 MB
